TEAM,Record,YEAR,CONF,Rank,SEED,Games,Wins,Losses,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,POSTSEASON
Pittsburgh,24–8,2013,BE,12,8,32,24,8,114,90.9,0.9317,52.2,44.7,17.9,22.2,40.8,29.8,37.5,34.9,51.6,43.6,36,31.2,60,3.1,R64
Oklahoma St.,24–8,2013,B12,19,5,32,24,8,107.3,87.8,0.9094,48.9,44.5,18.1,21.5,31.8,30.7,40.8,35.1,49.6,42.5,31.6,32.2,67.4,3.2,R64
Saint Mary's,26–6,2013,WCC,27,11,32,26,6,114.8,96.3,0.8823,54.3,47.2,18.4,17.8,37.2,25,36.9,37.6,53.2,43.9,37.3,36.9,65.2,2.5,R64
Colorado,21–11,2013,P12,42,10,32,21,11,105.7,90.7,0.8539,48.6,46.1,19.9,19.4,33.9,30.5,41.4,24.7,47.2,44.9,34.7,32.3,65.6,1.4,R64
Villanova,19–13,2013,BE,47,9,32,19,13,105,90.8,0.8426,47.3,46.9,22.9,21.9,32.8,29.7,51.3,40.5,45.6,42.3,33.7,36.8,67.8,0.3,R64
Bucknell,27–5,2013,Pat,57,11,32,27,5,105.4,93,0.8077,49.9,42.6,15.1,14.3,29.6,24.2,36.6,28.7,48.6,41,36,30.9,63.3,1,R64
Davidson,25–7,2013,SC,69,14,32,25,7,110.5,99.3,0.7726,53.3,45.5,17,18.9,29.2,27.9,38.7,36.5,52.2,44.5,36.6,32.3,65.4,-1.4,R64
Valparaiso,25–7,2013,Horz,82,14,32,25,7,106.6,97,0.7479,56.1,46,22,19.2,31.6,27.3,42.3,37.4,56.1,44.5,37.5,33.6,65.8,-0.8,R64
Pacific,20–12,2013,BW,121,15,32,20,12,105.5,100.7,0.6308,50.8,49.7,17.7,20.1,29.4,30.6,38.2,39.2,47.1,48.3,39.1,34.7,63.3,-5.1,R64
Oklahoma,23–9,2014,B12,28,5,32,23,9,118.5,99.6,0.8796,52,49.5,15.8,17.7,32.3,30.6,40,38.4,49.3,48.6,37.8,34,71.8,4.1,R64
