,Team,Seed,Outcome,Year
0,Houston,   1 seed,NA,2023.0
1,Alabama,   1 seed,NA,2023.0
2,UCLA,   2 seed,NA,2023.0
3,Tennessee,   4 seed,NA,2023.0
4,Connecticut,   4 seed,NA,2023.0
5,Purdue,   1 seed,NA,2023.0
6,Gonzaga,   3 seed,NA,2023.0
7,Texas,   2 seed,NA,2023.0
8,Saint Mary's,   5 seed,NA,2023.0
9,Arizona,   2 seed,NA,2023.0
10,San Diego St.,   5 seed,NA,2023.0
11,Kansas,   1 seed,NA,2023.0
12,Marquette,   2 seed,NA,2023.0
13,Baylor,   3 seed,NA,2023.0
14,Creighton,   6 seed,NA,2023.0
15,Texas A&M,   7 seed,NA,2023.0
16,Memphis,   8 seed,NA,2023.0
17,Arkansas,   8 seed,NA,2023.0
18,West Virginia,   9 seed,NA,2023.0
19,Iowa St.,   6 seed,NA,2023.0
20,Duke,   5 seed,NA,2023.0
21,Xavier,   3 seed,NA,2023.0
22,Auburn,   9 seed,NA,2023.0
23,Kansas St.,   3 seed,NA,2023.0
24,Utah St.,   10 seed,NA,2023.0
25,TCU,   6 seed,NA,2023.0
26,Kentucky,   6 seed,NA,2023.0
27,Maryland,   8 seed,NA,2023.0
28,Michigan St.,   7 seed,NA,2023.0
29,Florida Atlantic,   9 seed,NA,2023.0
30,Boise St.,   10 seed,NA,2023.0
31,Virginia,   4 seed,NA,2023.0
32,Indiana,   4 seed,NA,2023.0
33,Northwestern,   7 seed,NA,2023.0
34,Miami FL,   5 seed,NA,2023.0
35,Iowa,   8 seed,NA,2023.0
36,USC,   10 seed,NA,2023.0
37,Penn St.,   10 seed,NA,2023.0
38,Illinois,   9 seed,NA,2023.0
39,Drake,   12 seed,NA,2023.0
40,North Carolina St.,   11 seed,NA,2023.0
41,Missouri,   7 seed,NA,2023.0
42,Mississippi St.,   11 seed,NA,2023.0
43,Providence,   11 seed,NA,2023.0
44,Nevada,   11 seed,NA,2023.0
45,VCU,   12 seed,NA,2023.0
46,Dayton,NA,NA,2023.0
47,Arizona St.,   11 seed,NA,2023.0
48,Oral Roberts,   12 seed,NA,2023.0
49,Iona,   13 seed,NA,2023.0
50,College of Charleston,   12 seed,NA,2023.0
51,Kent St.,   13 seed,NA,2023.0
52,Yale,NA,NA,2023.0
53,Pittsburgh,   11 seed,NA,2023.0
54,Louisiana Lafayette,   13 seed,NA,2023.0
55,Furman,   13 seed,NA,2023.0
56,Vermont,   15 seed,NA,2023.0
57,Montana St.,   14 seed,NA,2023.0
58,Colgate,   15 seed,NA,2023.0
59,Princeton,   15 seed,NA,2023.0
60,Kennesaw St.,   14 seed,NA,2023.0
61,Grand Canyon,   14 seed,NA,2023.0
62,UC Santa Barbara,   14 seed,NA,2023.0
63,Northern Kentucky,   16 seed,NA,2023.0
64,UNC Asheville,   15 seed,NA,2023.0
65,Texas A&M Corpus Chris,   16 seed,NA,2023.0
66,Howard,   16 seed,NA,2023.0
67,Southeast Missouri St.,   16 seed,NA,2023.0
68,Texas Southern,   16 seed,NA,2023.0
69,Fairleigh Dickinson,   16 seed,NA,2023.0
