,Team,Seed,Outcome,Year,RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,YEAR
0,Houston,   1 seed,NA,2023.0,1,Houston,Amer,34,31-3,118.4,89.9,0.9596,52.7,42.5,15.3,22,37.1,27.4,28.5,35.8,53.2,43.1,34.5,27.8,63.3,8.4,2023
1,Alabama,   1 seed,NA,2023.0,2,Alabama,SEC,34,29-5,117,89.4,0.9565,52.7,41.5,19,16,33.8,27.6,36.7,32.8,54.6,41.2,33.8,28.1,72.7,10.5,2023
2,UCLA,   2 seed,NA,2023.0,3,UCLA,P12,34,29-5,113.6,88.6,0.9462,50.9,46.8,15.3,23.6,33.7,27.6,27.1,27.6,50.4,46.8,34.7,31.1,66.3,8.4,2023
3,Tennessee,   4 seed,NA,2023.0,4,Tennessee,SEC,33,23-10,112.4,88.2,0.9417,50.3,42.4,18.1,22.2,36.8,26.9,30.9,34.9,51,44.6,32.9,26.2,65.6,3.1,2023
4,Connecticut,   4 seed,NA,2023.0,5,Connecticut,BE,33,25-8,119.8,94.1,0.9412,53.5,45.5,18.9,19.4,39.2,26.2,31.4,38.7,53.4,45.8,35.7,30,67,5,2023
5,Purdue,   1 seed,NA,2023.0,6,Purdue,B10,34,29-5,119.5,94.3,0.9387,52.2,47.2,17,15.4,38.3,23.3,37.2,19.3,54.1,47.4,32.6,31.4,64.1,9.2,2023
6,Gonzaga,   3 seed,NA,2023.0,7,Gonzaga,WCC,32,28-5,125.2,99.7,0.9322,58.5,51.7,14.6,18.8,31.1,26,34.2,26.7,59,51.2,38.4,35,70,7.1,2023
7,Texas,   2 seed,NA,2023.0,8,Texas,B12,34,26-8,115.9,92.4,0.9311,52.7,47.8,16.5,22.8,28.3,29.4,31.5,34.5,53.8,47.2,33.9,32.7,68.8,8,2023
8,Saint Mary's,   5 seed,NA,2023.0,9,Saint Mary's,WCC,32,26-7,113.2,90.6,0.9281,52.5,46.7,16.4,19,33.1,21.8,31.2,30.3,51,45.6,36.7,32.8,62.1,3.9,2023
9,Arizona,   2 seed,NA,2023.0,10,Arizona,P12,34,28-6,120.5,96.6,0.9272,56.8,47.2,18.4,16.9,31.1,26.2,36.5,26,56.6,45.9,38.2,32.8,72.4,7.5,2023
10,San Diego St.,   5 seed,NA,2023.0,11,San Diego St.,MWC,32,27-6,113,90.6,0.9266,50.1,47.5,17.6,19.6,31.7,25.8,34.3,29.4,49.4,49.9,34.4,29.2,66.1,6.5,2023
11,Kansas,   1 seed,NA,2023.0,12,Kansas,B12,34,27-7,113.8,92.4,0.9161,52.4,47.1,17.5,20.2,28.4,28.3,29.8,31.2,52.9,47.2,34.4,31.2,69.1,10.5,2023
12,Marquette,   2 seed,NA,2023.0,13,Marquette,BE,34,28-6,119.1,97.2,0.9118,56,51.1,15.2,22.8,26.5,32.1,27.1,29,58.8,50,34.8,35.2,68.6,7.5,2023
13,Baylor,   3 seed,NA,2023.0,14,Baylor,B12,32,22-10,123.1,100.8,0.9089,53.1,51.4,18.1,19.9,34.7,31.1,37.2,31.4,50.8,53.3,37.2,32.2,67,5.7,2023
14,Creighton,   6 seed,NA,2023.0,15,Creighton,BE,33,21-12,114.7,94.1,0.9071,54.3,47.3,16.6,14.3,25.5,23.3,28.1,19.8,54.5,45.6,36,34.1,67.9,1.9,2023
15,Texas A&M,   7 seed,NA,2023.0,16,Texas A&M,SEC,34,25-9,115.1,95.1,0.8999,49,47.9,18.3,21.1,36.7,30.4,45.9,35.1,49,47.4,32.8,32.3,66.2,4.1,2023
16,Memphis,   8 seed,NA,2023.0,17,Memphis,Amer,34,26-8,115.4,95.4,0.8995,53.2,46.8,18.4,20.9,31,32.3,35.9,34.9,53.1,47.2,35.6,30.8,71.5,5.1,2023
17,Arkansas,   8 seed,NA,2023.0,18,Arkansas,SEC,33,20-13,112.4,93.3,0.8947,52,46.5,18.3,20.4,30.5,28.2,38.8,38.9,53.8,46.9,31.7,30.6,69.6,0.9,2023
18,West Virginia,   9 seed,NA,2023.0,19,West Virginia,B12,33,19-14,117.4,97.6,0.8935,51.7,50.7,18.5,20.9,33.7,29.3,39.7,38.5,51.3,50.5,34.8,34.1,68.7,1.8,2023
19,Iowa St.,   6 seed,NA,2023.0,20,Iowa St.,B12,32,19-13,109.8,91.6,0.8891,50.7,50.1,19.8,25.1,33.9,26.6,27.8,40,50.7,49.6,33.9,33.8,64.2,2.6,2023
20,Duke,   5 seed,NA,2023.0,21,Duke,ACC,34,26-8,112.8,94.3,0.8869,51.1,46.3,18.2,16.6,36.2,25.9,30.8,24.1,51.4,46.7,33.6,30.4,65.3,4.3,2023
21,Xavier,   3 seed,NA,2023.0,22,Xavier,BE,34,25-9,119.2,99.7,0.8861,55.6,50.4,17.5,16.5,31.8,25.4,30.8,27.1,54,48.7,39.5,35.9,70.4,5.1,2023
22,Auburn,   9 seed,NA,2023.0,23,Auburn,SEC,32,20-12,113.1,94.8,0.8834,49.6,45.6,18.1,19.3,33.3,32,35.5,39.1,51,46.9,31.4,28.8,67.7,1.5,2023
23,Kansas St.,   3 seed,NA,2023.0,24,Kansas St.,B12,32,23-9,111.6,93.7,0.8814,51.5,47.5,20,20.7,31.1,29.2,37,36.7,51.8,48.8,34,30.1,70,4.7,2023
24,Utah St.,   10 seed,NA,2023.0,25,Utah St.,MWC,33,26-8,117.2,98.5,0.8804,55.6,47.8,17.4,15.8,27.4,24.8,35.5,30.2,54.1,45.9,38.5,34.3,68.8,3.9,2023
